Draft Class,Card Name,Rarity,Type,Card Class,Average,P(1 or more),P(2 or more),P(3 or more)
Hunter,Kathrena Winterwisp,legendary,Minion,hunter,0.04349,0.04236,0.00111,0.00002
Hunter,Murloc Raider,basic,Minion,neutral,0.04295,0.04216,0.00078,0.00001
Hunter,Stonetusk Boar,basic,Minion,neutral,0.04229,0.04146,0.00082,0.00001
Hunter,Gentle Megasaur,epic,Minion,neutral,0.04226,0.04141,0.00085,0
Hunter,Gruul,legendary,Minion,neutral,0.04203,0.04132,0.00071,0
Hunter,Rhok'delar,legendary,Weapon,hunter,0.04198,0.04115,0.00082,0.00001
Hunter,Alexstrasza,legendary,Minion,neutral,0.04001,0.03932,0.00066,0.00002
Hunter,Crystallizer,epic,Minion,neutral,0.03904,0.03829,0.00074,0.00001
Hunter,Holomancer,epic,Minion,neutral,0.03829,0.03749,0.0008,0
Hunter,Ebon Dragonsmith,rare,Minion,neutral,0.03797,0.03726,0.0007,0.00001
Hunter,Phantom Freebooter,rare,Minion,neutral,0.03746,0.03678,0.00068,0
Hunter,Faceless Manipulator,epic,Minion,neutral,0.03666,0.03613,0.00052,0.00001
Hunter,Emerald Hive Queen,epic,Minion,neutral,0.03522,0.03465,0.00054,0.00003
Hunter,Cairne Bloodhoof,legendary,Minion,neutral,0.03483,0.03435,0.00048,0
Hunter,Illidan Stormrage,legendary,Minion,neutral,0.03456,0.03398,0.00057,0.00001
Hunter,Onyxia,legendary,Minion,neutral,0.03348,0.03293,0.00055,0
Hunter,Leper Gnome,common,Minion,neutral,0.03264,0.03218,0.00046,0
Hunter,Raid Leader,basic,Minion,neutral,0.03237,0.03182,0.00054,0.00001
Hunter,Lord of the Arena,basic,Minion,neutral,0.03224,0.03176,0.00048,0
Hunter,War Golem,basic,Minion,neutral,0.03216,0.03158,0.00058,0
Hunter,The Lich King,legendary,Minion,neutral,0.03157,0.03117,0.0004,0
Hunter,Frostwolf Grunt,basic,Minion,neutral,0.03135,0.03087,0.00048,0
Hunter,The Black Knight,legendary,Minion,neutral,0.03134,0.03089,0.00045,0
Hunter,Mad Hatter,rare,Minion,neutral,0.03066,0.03028,0.00038,0
Hunter,Baron Geddon,legendary,Minion,neutral,0.03036,0.02992,0.00043,0.00001
Hunter,Seeping Oozeling,rare,Minion,hunter,0.03018,0.02972,0.00046,0
Hunter,To My Side!,epic,Spell,hunter,0.03006,0.02968,0.00036,0.00002
Hunter,Voodoo Doll,epic,Minion,neutral,0.02916,0.02866,0.00048,0.00002
Hunter,Arcane Tyrant,epic,Minion,neutral,0.02908,0.02869,0.00039,0
Hunter,Corpsetaker,epic,Minion,neutral,0.02908,0.02854,0.00054,0
Hunter,Ysera,legendary,Minion,neutral,0.02899,0.02858,0.00041,0
Hunter,Harrison Jones,legendary,Minion,neutral,0.02847,0.02812,0.00035,0
Hunter,Mana Wraith,rare,Minion,neutral,0.02666,0.02637,0.00029,0
Hunter,Young Dragonhawk,common,Minion,neutral,0.0263,0.02587,0.00042,0.00001
Hunter,Misdirection,rare,Spell,hunter,0.02623,0.02596,0.00027,0
Hunter,Nerubian Unraveler,epic,Minion,neutral,0.02618,0.02569,0.00048,0.00001
Hunter,Questing Adventurer,rare,Minion,neutral,0.02616,0.02578,0.00038,0
Hunter,Big Game Hunter,epic,Minion,neutral,0.0261,0.02586,0.00024,0
Hunter,Murloc Tidecaller,rare,Minion,neutral,0.02599,0.02571,0.00028,0
Hunter,Flare,rare,Spell,hunter,0.02591,0.02549,0.00042,0
Hunter,Ravenholdt Assassin,rare,Minion,neutral,0.02587,0.02551,0.00036,0
Hunter,Hogger,legendary,Minion,neutral,0.02583,0.02555,0.00027,0.00001
Hunter,Mana Addict,rare,Minion,neutral,0.02581,0.02547,0.00034,0
Hunter,Demolisher,rare,Minion,neutral,0.0257,0.02553,0.00017,0
Hunter,Mogu'shan Warden,common,Minion,neutral,0.02566,0.02532,0.00034,0
Hunter,Core Hound,basic,Minion,neutral,0.02546,0.0252,0.00026,0
Hunter,Secretkeeper,rare,Minion,neutral,0.02546,0.02516,0.00029,0.00001
Hunter,Booty Bay Bodyguard,basic,Minion,neutral,0.02502,0.02476,0.00026,0
Hunter,Windfury Harpy,common,Minion,neutral,0.02492,0.02462,0.0003,0
Hunter,Thrallmar Farseer,common,Minion,neutral,0.02486,0.02453,0.00033,0
Hunter,Young Priestess,rare,Minion,neutral,0.0248,0.02453,0.00026,0.00001
Hunter,Shieldbearer,common,Minion,neutral,0.0248,0.02451,0.00028,0.00001
Hunter,Imp Master,rare,Minion,neutral,0.02476,0.02449,0.00027,0
Hunter,Dalaran Mage,basic,Minion,neutral,0.02468,0.02438,0.0003,0
Hunter,Master Swordsmith,rare,Minion,neutral,0.02457,0.02422,0.00035,0
Hunter,Tauren Warrior,common,Minion,neutral,0.0245,0.02418,0.00031,0.00001
Hunter,Silverback Patriarch,basic,Minion,neutral,0.02442,0.02424,0.00018,0
Hunter,Priestess of Elune,common,Minion,neutral,0.02439,0.02403,0.00036,0
Hunter,Grimscale Oracle,basic,Minion,neutral,0.02436,0.02404,0.00032,0
Hunter,Goldshire Footman,basic,Minion,neutral,0.02432,0.02397,0.00035,0
Hunter,Magma Rager,basic,Minion,neutral,0.02418,0.0239,0.00028,0
Hunter,Prince Keleseth,legendary,Minion,neutral,0.02396,0.02359,0.00036,0.00001
Hunter,Wisp,common,Minion,neutral,0.0236,0.02331,0.00029,0
Hunter,Countess Ashmore,legendary,Minion,neutral,0.0227,0.02247,0.00023,0
Hunter,Sandbinder,epic,Minion,neutral,0.02107,0.02088,0.00019,0
Hunter,Bestial Wrath,epic,Spell,hunter,0.02103,0.02083,0.00019,0.00001
Hunter,Spiritsinger Umbra,legendary,Minion,neutral,0.02078,0.02053,0.00024,0.00001
Hunter,Exploding Bloatbat,rare,Minion,hunter,0.02063,0.02048,0.00015,0
Hunter,Leeroy Jenkins,legendary,Minion,neutral,0.02056,0.02036,0.0002,0
Hunter,Malygos,legendary,Minion,neutral,0.02043,0.02025,0.00018,0
Hunter,Doomsayer,epic,Minion,neutral,0.02042,0.02027,0.00014,0.00001
Hunter,Grand Archivist,epic,Minion,neutral,0.02041,0.02019,0.00022,0
Hunter,Prince Valanar,legendary,Minion,neutral,0.02025,0.02009,0.00016,0
Hunter,Toxic Arrow,epic,Spell,hunter,0.02021,0.01996,0.00025,0
Hunter,Rummaging Kobold,epic,Minion,neutral,0.0201,0.01994,0.00016,0
Hunter,Hemet Jungle Hunter,legendary,Minion,neutral,0.01934,0.01919,0.00015,0
Hunter,Zola the Gorgon,legendary,Minion,neutral,0.01911,0.01894,0.00017,0
Hunter,Prince Taldaram,legendary,Minion,neutral,0.01906,0.01895,0.00011,0
Hunter,Lightwarden,rare,Minion,neutral,0.01887,0.01872,0.00015,0
Hunter,Abomination,rare,Minion,neutral,0.01846,0.01835,0.00011,0
Hunter,Dinomancy,epic,Spell,hunter,0.018,0.01789,0.00011,0
Hunter,Southsea Captain,epic,Minion,neutral,0.01769,0.01759,0.0001,0
Hunter,Hungry Crab,epic,Minion,neutral,0.01723,0.01707,0.00016,0
Hunter,Deathwing,legendary,Minion,neutral,0.01722,0.01709,0.00013,0
Hunter,Unpowered Mauler,rare,Minion,neutral,0.01692,0.0168,0.00012,0
Hunter,Stampede,epic,Spell,hunter,0.0167,0.01657,0.00013,0
Hunter,Murloc Warleader,epic,Minion,neutral,0.01635,0.01625,0.0001,0
Hunter,Toxmonger,epic,Minion,hunter,0.01588,0.01579,0.00009,0
Hunter,Ticking Abomination,rare,Minion,neutral,0.01522,0.01516,0.00006,0
Hunter,Master Oakheart,legendary,Minion,neutral,0.01496,0.0149,0.00006,0
Hunter,Flark's Boom-Zooka,legendary,Spell,hunter,0.01492,0.01483,0.00009,0
Hunter,Gravelsnout Knight,rare,Minion,neutral,0.01468,0.01461,0.00007,0
Hunter,Furbolg Mossbinder,rare,Minion,neutral,0.01444,0.01433,0.00011,0
Hunter,Furnacefire Colossus,epic,Minion,neutral,0.01379,0.01375,0.00004,0
Hunter,Tortollan Primalist,epic,Minion,neutral,0.01368,0.01366,0.00002,0
Hunter,Bloodmage Thalnos,legendary,Minion,neutral,0.01295,0.01288,0.00007,0
Hunter,King Mukla,legendary,Minion,neutral,0.01153,0.01149,0.00004,0
Hunter,Devilsaur Egg,rare,Minion,neutral,0.0115,0.01146,0.00004,0
Hunter,Tinkmaster Overspark,legendary,Minion,neutral,0.01129,0.01125,0.00004,0
Hunter,Star Aligner,epic,Minion,neutral,0.01078,0.01068,0.0001,0
Hunter,Bloodsail Corsair,rare,Minion,neutral,0.0104,0.01039,0.00001,0
Hunter,Rattling Rascal,epic,Minion,neutral,0.01037,0.01027,0.0001,0
Hunter,Boommaster Flark,legendary,Minion,hunter,0.01023,0.01019,0.00004,0
Hunter,Nat Pagle,legendary,Minion,neutral,0.01007,0.01004,0.00003,0
Hunter,Captain Greenskin,legendary,Minion,neutral,0.01005,0.01002,0.00003,0
Hunter,Tomb Lurker,epic,Minion,neutral,0.00924,0.00921,0.00003,0
Hunter,Skulking Geist,epic,Minion,neutral,0.00855,0.00851,0.00004,0
Hunter,Baleful Banker,epic,Minion,neutral,0.00815,0.00809,0.00006,0
Hunter,Deathaxe Punisher,epic,Minion,neutral,0.008,0.008,0,0
Hunter,Shimmering Courser,epic,Minion,neutral,0.00785,0.0078,0.00005,0
Hunter,Drakkari Enchanter,epic,Minion,neutral,0.00776,0.00772,0.00004,0
Hunter,Meat Wagon,epic,Minion,neutral,0.0077,0.00766,0.00004,0
Hunter,Azalina Soulthief,legendary,Minion,neutral,0.00759,0.00756,0.00003,0
Hunter,Dragonhatcher,epic,Minion,neutral,0.00756,0.00753,0.00003,0
Hunter,Angry Chicken,rare,Minion,neutral,0.00755,0.00752,0.00003,0
Hunter,The Beast,legendary,Minion,neutral,0.0075,0.00749,0.00001,0
Hunter,Ancient Mage,rare,Minion,neutral,0.00732,0.00729,0.00003,0
Hunter,Subject 9,legendary,Minion,neutral,0.00716,0.00713,0.00003,0
Hunter,Nozdormu,legendary,Minion,neutral,0.00707,0.00705,0.00002,0
Hunter,Mecha'thun,legendary,Minion,neutral,0.00696,0.00694,0.00002,0
Hunter,Harbinger Celestia,legendary,Minion,neutral,0.00663,0.0066,0.00003,0
Hunter,Gadgetzan Auctioneer,rare,Minion,neutral,0.0061,0.00609,0.00001,0
Hunter,Arcane Golem,rare,Minion,neutral,0.00586,0.00584,0.00002,0
Hunter,Dollmaster Dorian,legendary,Minion,neutral,0.00551,0.00549,0.00002,0
Hunter,The Darkness,legendary,Minion,neutral,0.0055,0.00549,0.00001,0
Hunter,Coldlight Seer,rare,Minion,neutral,0.00548,0.00547,0.00001,0
Hunter,Alarm-o-Bot,rare,Minion,neutral,0.00546,0.00544,0.00002,0
Hunter,King Togwaggle,legendary,Minion,neutral,0.0053,0.00527,0.00003,0
Hunter,The Voraxx,legendary,Minion,neutral,0.00499,0.00498,0.00001,0
Hunter,Ozruk,legendary,Minion,neutral,0.00475,0.00475,0,0
Hunter,Mountain Giant,epic,Minion,neutral,0.00387,0.00385,0.00002,0
Hunter,Millhouse Manastorm,legendary,Minion,neutral,0.0038,0.00378,0.00002,0
Hunter,Lorewalker Cho,legendary,Minion,neutral,0.00377,0.00377,0,0
Mage,Mirror Entity,common,Spell,mage,1.22883,0.71653,0.34932,0.12283
Mage,Frostbolt,basic,Spell,mage,1.14955,0.69128,0.32161,0.10522
Mage,Flame Geyser,common,Spell,mage,1.08794,0.6708,0.29759,0.09235
Mage,Coldwraith,common,Minion,mage,0.90101,0.60095,0.22662,0.05997
Mage,Explosive Runes,rare,Spell,mage,0.87108,0.59916,0.21382,0.04949
Mage,Arcanologist,common,Minion,mage,0.86517,0.58644,0.21354,0.05373
Mage,Mana Wyrm,common,Minion,mage,0.86452,0.58621,0.21222,0.05433
Mage,Water Elemental,basic,Minion,mage,0.84592,0.57768,0.20679,0.05117
Mage,Raven Familiar,common,Minion,mage,0.84411,0.57602,0.20557,0.05173
Mage,Blizzard,rare,Spell,mage,0.8176,0.57374,0.19336,0.04324
Mage,Arcane Intellect,basic,Spell,mage,0.78085,0.54706,0.18388,0.04198
Mage,Shifting Scroll,common,Spell,mage,0.76491,0.54067,0.17737,0.03966
Mage,Shimmering Tempest,common,Minion,mage,0.76302,0.53978,0.17539,0.04014
Mage,Sorcerer's Apprentice,common,Minion,mage,0.75942,0.53809,0.17488,0.03898
Mage,Cosmic Anomaly,common,Minion,mage,0.74443,0.53001,0.17033,0.03719
Mage,Bonemare,common,Minion,neutral,0.68911,0.50176,0.15114,0.03022
Mage,Cobalt Scalebane,common,Minion,neutral,0.67493,0.49639,0.14498,0.02883
Mage,Leyline Manipulator,rare,Minion,mage,0.67321,0.50154,0.14214,0.02611
Mage,Stoneskin Basilisk,common,Minion,neutral,0.6708,0.49496,0.14347,0.02817
Mage,Ghastly Conjurer,rare,Minion,mage,0.65776,0.49473,0.13582,0.0241
Mage,Pyroblast,epic,Spell,mage,0.65624,0.49348,0.13625,0.02363
Mage,Plated Beetle,common,Minion,neutral,0.63538,0.47255,0.13384,0.02498
Mage,Hyldnir Frostrider,common,Minion,neutral,0.63496,0.47353,0.13262,0.02495
Mage,Violet Wurm,common,Minion,neutral,0.63491,0.47444,0.13192,0.02494
Mage,Cursed Disciple,common,Minion,neutral,0.62598,0.46954,0.12901,0.02346
Mage,Unexpected Results,epic,Spell,mage,0.62484,0.4767,0.12518,0.02059
Mage,Primordial Glyph,epic,Spell,mage,0.62454,0.47606,0.12495,0.02102
Mage,Deathspeaker,common,Minion,neutral,0.62307,0.46839,0.12704,0.02416
Mage,Book of Specters,epic,Spell,mage,0.62108,0.4746,0.12412,0.0199
Mage,Shroom Brewer,common,Minion,neutral,0.62097,0.46749,0.12709,0.02287
Mage,Dragonslayer,common,Minion,neutral,0.62027,0.46787,0.12623,0.02255
Mage,Dragon's Fury,epic,Spell,mage,0.61769,0.47344,0.12171,0.0201
Mage,Kirin Tor Mage,rare,Minion,mage,0.60071,0.46249,0.11706,0.01887
Mage,Steam Surger,rare,Minion,mage,0.6004,0.46397,0.11554,0.01873
Mage,Fire Plume Phoenix,common,Minion,neutral,0.59593,0.45304,0.11889,0.02075
Mage,Fireball,basic,Spell,mage,0.59393,0.45111,0.11863,0.02119
Mage,Furious Ettin,common,Minion,neutral,0.5833,0.44434,0.11572,0.02061
Mage,Swift Messenger,common,Minion,neutral,0.5818,0.44476,0.11423,0.01994
Mage,Polymorph,basic,Spell,mage,0.58084,0.44299,0.11505,0.01994
Mage,Ravencaller,common,Minion,neutral,0.57821,0.44103,0.11428,0.02019
Mage,Electrowright,common,Minion,neutral,0.57785,0.44292,0.11282,0.01931
Mage,Walnut Sprite,common,Minion,neutral,0.5775,0.44295,0.11287,0.01908
Mage,Wargear,common,Minion,neutral,0.57722,0.4418,0.1134,0.01951
Mage,Tuskarr Fisherman,common,Minion,neutral,0.57695,0.44334,0.11243,0.01866
Mage,Fungalmancer,common,Minion,neutral,0.57666,0.44076,0.11378,0.01971
Mage,Spring Rocket,common,Minion,neutral,0.57663,0.44295,0.11231,0.01884
Mage,Tar Creeper,common,Minion,neutral,0.57546,0.44163,0.11133,0.01958
Mage,Grim Necromancer,common,Minion,neutral,0.57487,0.44197,0.11148,0.01875
Mage,Piloted Reaper,common,Minion,neutral,0.57469,0.44115,0.11159,0.01905
Mage,Toxicologist,common,Minion,neutral,0.57458,0.44032,0.11249,0.01919
Mage,Mecharoo,common,Minion,neutral,0.57449,0.44117,0.11123,0.01949
Mage,Blackwald Pixie,common,Minion,neutral,0.57401,0.43925,0.11225,0.01988
Mage,Fire Fly,common,Minion,neutral,0.57378,0.43921,0.113,0.01904
Mage,Rotten Applebaum,common,Minion,neutral,0.57321,0.44082,0.11045,0.01923
Mage,Deranged Doctor,common,Minion,neutral,0.57291,0.43961,0.1113,0.01923
Mage,Tanglefur Mystic,common,Minion,neutral,0.56894,0.43703,0.10993,0.01918
Mage,Nesting Roc,common,Minion,neutral,0.56521,0.43572,0.10825,0.01855
Mage,Eggnapper,common,Minion,neutral,0.56452,0.43582,0.10852,0.01775
Mage,Shooting Star,common,Spell,mage,0.55466,0.42916,0.10551,0.01775
Mage,Vex Crow,common,Minion,mage,0.5324,0.41636,0.09843,0.01558
Mage,Glacial Shard,common,Minion,neutral,0.52461,0.41051,0.09735,0.01503
Mage,Stubborn Gastropod,common,Minion,neutral,0.52264,0.40979,0.09602,0.01505
Mage,Arcane Artificer,common,Minion,mage,0.51346,0.40592,0.09157,0.0144
Mage,Upgradeable Framebot,common,Minion,neutral,0.50757,0.40059,0.0912,0.01405
Mage,Steel Rager,common,Minion,neutral,0.50659,0.40023,0.09093,0.01368
Mage,Coppertail Imposter,common,Minion,neutral,0.50563,0.39879,0.09066,0.01435
Mage,Skaterbot,common,Minion,neutral,0.50509,0.39901,0.09072,0.01372
Mage,Pumpkin Peasant,common,Minion,neutral,0.50421,0.39861,0.09086,0.01324
Mage,Cloakscale Chemist,common,Minion,neutral,0.50394,0.39966,0.0895,0.01322
Mage,Kaboom Bot,common,Minion,neutral,0.50219,0.39739,0.08938,0.01382
Mage,Arcane Dynamo,rare,Minion,neutral,0.46498,0.37971,0.07526,0.00922
Mage,Flamestrike,basic,Spell,mage,0.46408,0.37446,0.0781,0.0103
Mage,Saronite Chain Gang,rare,Minion,neutral,0.45327,0.37337,0.07139,0.00789
Mage,Lone Champion,rare,Minion,neutral,0.44859,0.36891,0.07087,0.00819
Mage,Missile Launcher,rare,Minion,neutral,0.44739,0.36902,0.06933,0.00828
Mage,Stonehill Defender,rare,Minion,neutral,0.4348,0.36,0.0667,0.00763
Mage,Arcane Keysmith,epic,Minion,mage,0.42557,0.35379,0.06401,0.00714
Mage,Gilnean Royal Guard,rare,Minion,neutral,0.41457,0.34631,0.0613,0.00641
Mage,Witchwood Grizzly,rare,Minion,neutral,0.41204,0.34373,0.06173,0.0061
Mage,Giggling Inventor,rare,Minion,neutral,0.4119,0.34413,0.0605,0.00676
Mage,Bone Drake,rare,Minion,neutral,0.41185,0.34424,0.06031,0.00677
Mage,Phantom Militia,rare,Minion,neutral,0.41146,0.34401,0.06078,0.00619
Mage,Mirror Image,basic,Spell,mage,0.40875,0.3383,0.06185,0.00787
Mage,Frost Nova,basic,Spell,mage,0.40848,0.33805,0.06261,0.00717
Mage,Bonfire Elemental,rare,Minion,mage,0.40578,0.33771,0.06071,0.00692
Mage,Breath of Sindragosa,common,Spell,mage,0.39825,0.3289,0.06119,0.00753
Mage,Snap Freeze,common,Spell,mage,0.39801,0.33015,0.06022,0.00692
Mage,Cone of Cold,common,Spell,mage,0.38648,0.32326,0.05622,0.00642
Mage,Arcane Explosion,basic,Spell,mage,0.38638,0.3223,0.05681,0.00646
Mage,Arcane Missiles,basic,Spell,mage,0.38469,0.32231,0.05565,0.0062
Mage,Frozen Clone,common,Spell,mage,0.38464,0.32134,0.05573,0.00692
Mage,Green Jelly,common,Minion,neutral,0.3627,0.30601,0.05094,0.00537
Mage,Igneous Elemental,common,Minion,neutral,0.36137,0.30552,0.05002,0.0054
Mage,Sunborne Val'kyr,common,Minion,neutral,0.36082,0.30502,0.04972,0.00556
Mage,Giant Wasp,common,Minion,neutral,0.35947,0.30429,0.04952,0.00505
Mage,Hench-Clan Thug,common,Minion,neutral,0.3594,0.30393,0.04991,0.00505
Mage,Fungal Enchanter,common,Minion,neutral,0.35831,0.3036,0.04882,0.0054
Mage,Corrosive Sludge,common,Minion,neutral,0.35735,0.30134,0.04982,0.00574
Mage,Sated Threshadon,common,Minion,neutral,0.35591,0.30161,0.04846,0.00533
Mage,Rockpool Hunter,common,Minion,neutral,0.35408,0.29968,0.04852,0.00544
Mage,Primordial Drake,epic,Minion,neutral,0.34758,0.29865,0.04468,0.004
Mage,Earthen Ring Farseer,common,Minion,neutral,0.32438,0.27912,0.04073,0.00421
Mage,Spiteful Summoner,epic,Minion,neutral,0.32228,0.28003,0.03874,0.0033
Mage,Worgen Abomination,epic,Minion,neutral,0.31563,0.27493,0.03744,0.00304
Mage,Meteor,epic,Spell,mage,0.30991,0.27022,0.03663,0.00291
Mage,Amani Berserker,common,Minion,neutral,0.298,0.25871,0.03567,0.00335
Mage,Acidic Swamp Ooze,basic,Minion,neutral,0.29527,0.25588,0.03596,0.00314
Mage,Dark Iron Dwarf,common,Minion,neutral,0.29267,0.25466,0.03471,0.003
Mage,Bloodsail Raider,common,Minion,neutral,0.29183,0.25486,0.03397,0.00282
Mage,Charged Devilsaur,epic,Minion,neutral,0.29173,0.2571,0.03192,0.00257
Mage,Mad Bomber,common,Minion,neutral,0.29108,0.25411,0.03382,0.00297
Mage,Chillwind Yeti,basic,Minion,neutral,0.29069,0.25406,0.03368,0.00284
Mage,Scarlet Crusader,common,Minion,neutral,0.28808,0.25075,0.0341,0.00303
Mage,Weaponized Pinata,epic,Minion,neutral,0.28767,0.25299,0.03239,0.00221
Mage,Bittertide Hydra,epic,Minion,neutral,0.28618,0.25257,0.03135,0.00223
Mage,Mossy Horror,epic,Minion,neutral,0.28593,0.25233,0.03127,0.00226
Mage,Nightmare Amalgam,epic,Minion,neutral,0.2858,0.25215,0.03106,0.00244
Mage,Replicating Menace,rare,Minion,neutral,0.27586,0.24354,0.02992,0.00227
Mage,Spellbreaker,common,Minion,neutral,0.27214,0.23975,0.0297,0.00255
Mage,Faerie Dragon,common,Minion,neutral,0.26797,0.23684,0.02876,0.00222
Mage,Dire Wolf Alpha,common,Minion,neutral,0.26781,0.23648,0.02871,0.00245
Mage,Stormwind Champion,basic,Minion,neutral,0.26621,0.23546,0.02842,0.00223
Mage,Microtech Controller,common,Minion,neutral,0.25352,0.22503,0.02645,0.00194
Mage,Vicious Scalehide,common,Minion,neutral,0.25296,0.22418,0.02671,0.00197
Mage,Bronze Gatekeeper,common,Minion,neutral,0.25281,0.22466,0.02609,0.00195
Mage,Marsh Drake,common,Minion,neutral,0.25272,0.2236,0.02697,0.00201
Mage,Brainstormer,common,Minion,neutral,0.25242,0.2238,0.02624,0.00222
Mage,Swamp Leech,common,Minion,neutral,0.25187,0.22348,0.0265,0.00181
Mage,Explodinator,common,Minion,neutral,0.25139,0.22285,0.02627,0.00211
Mage,Hoarding Dragon,common,Minion,neutral,0.25128,0.22335,0.02585,0.00197
Mage,Damaged Stegotron,common,Minion,neutral,0.25112,0.22282,0.02609,0.00213
Mage,Rusty Recycler,common,Minion,neutral,0.25036,0.22254,0.02569,0.00202
Mage,Bull Dozer,common,Minion,neutral,0.24956,0.22085,0.02642,0.00216
Mage,Fallen Sun Cleric,common,Minion,neutral,0.24952,0.22224,0.02522,0.0019
Mage,Necrotic Geist,common,Minion,neutral,0.24686,0.21964,0.02516,0.00197
Mage,Argent Commander,rare,Minion,neutral,0.21776,0.19741,0.01924,0.00106
Mage,Mind Control Tech,rare,Minion,neutral,0.21492,0.19654,0.01729,0.00107
Mage,Corridor Creeper,epic,Minion,neutral,0.21422,0.19398,0.01919,0.00103
Mage,Sunwalker,rare,Minion,neutral,0.20916,0.19091,0.01739,0.00084
Mage,Wild Pyromancer,rare,Minion,neutral,0.20913,0.19092,0.01723,0.00098
Mage,Twilight Drake,rare,Minion,neutral,0.20821,0.19019,0.01713,0.00088
Mage,Augmented Elekk,epic,Minion,neutral,0.19295,0.17654,0.01534,0.00104
Mage,E.M.P. Operative,epic,Minion,neutral,0.19224,0.17567,0.01563,0.0009
Mage,Loose Specimen,epic,Minion,neutral,0.19123,0.17511,0.01528,0.00082
Mage,Muck Hunter,epic,Minion,neutral,0.19115,0.17495,0.01523,0.00095
Mage,Counterspell,rare,Spell,mage,0.18839,0.17238,0.01495,0.00098
Mage,Lesser Ruby Spellstone,rare,Spell,mage,0.18559,0.17064,0.01424,0.00066
Mage,Silvermoon Guardian,common,Minion,neutral,0.18355,0.16835,0.01435,0.00082
Mage,Celestial Emissary,rare,Minion,mage,0.18311,0.16807,0.01411,0.00088
Mage,Felsoul Inquisitor,common,Minion,neutral,0.18292,0.16775,0.0145,0.00063
Mage,Harvest Golem,common,Minion,neutral,0.18236,0.1678,0.01379,0.00075
Mage,Sleepy Dragon,common,Minion,neutral,0.18196,0.16734,0.01389,0.00071
Mage,Loot Hoarder,common,Minion,neutral,0.18175,0.16678,0.01416,0.00079
Mage,Youthful Brewmaster,common,Minion,neutral,0.18159,0.167,0.01381,0.00074
Mage,Dire Mole,common,Minion,neutral,0.18142,0.16687,0.01383,0.00068
Mage,Raging Worgen,common,Minion,neutral,0.18131,0.16684,0.01367,0.00076
Mage,Acherus Veteran,common,Minion,neutral,0.18127,0.16646,0.01423,0.00057
Mage,Curio Collector,rare,Minion,mage,0.18102,0.16599,0.01418,0.0008
Mage,Spiteful Smith,common,Minion,neutral,0.18077,0.16565,0.01434,0.00076
Mage,Spellshifter,common,Minion,neutral,0.18061,0.16564,0.01412,0.00083
Mage,Guild Recruiter,common,Minion,neutral,0.17894,0.16363,0.01438,0.00089
Mage,Argent Squire,common,Minion,neutral,0.1786,0.16391,0.01381,0.00084
Mage,Grave Shambler,common,Minion,neutral,0.17781,0.16363,0.01335,0.00078
Mage,Ravasaur Runt,common,Minion,neutral,0.17662,0.16219,0.0136,0.00079
Mage,Acolyte of Pain,common,Minion,neutral,0.17594,0.16221,0.01298,0.00072
Mage,Thunder Lizard,common,Minion,neutral,0.17524,0.16097,0.01355,0.0007
Mage,Volatile Elemental,common,Minion,neutral,0.17497,0.16089,0.01336,0.00067
Mage,Venomancer,common,Minion,neutral,0.17455,0.16055,0.0133,0.00067
Mage,Vryghoul,common,Minion,neutral,0.17454,0.16109,0.01272,0.00071
Mage,Tainted Zealot,common,Minion,neutral,0.17445,0.16082,0.0128,0.00079
Mage,Toothy Chest,common,Minion,neutral,0.17419,0.16031,0.01316,0.00067
Mage,Trogg Gloomeater,common,Minion,neutral,0.17416,0.16,0.01349,0.00065
Mage,Stormwatcher,common,Minion,neutral,0.17416,0.15972,0.01372,0.00069
Mage,Pterrordax Hatchling,common,Minion,neutral,0.17378,0.16006,0.01298,0.00073
Mage,Stegodon,common,Minion,neutral,0.17356,0.15984,0.01297,0.00072
Mage,Boisterous Bard,common,Minion,neutral,0.17352,0.16033,0.01241,0.00076
Mage,Kobold Apprentice,common,Minion,neutral,0.17329,0.15944,0.01314,0.00068
Mage,Sewer Crawler,common,Minion,neutral,0.17268,0.15918,0.01282,0.0006
Mage,Emerald Reaver,common,Minion,neutral,0.17219,0.15836,0.01308,0.00069
Mage,Silver Hand Knight,common,Minion,neutral,0.16442,0.15186,0.01194,0.00061
Mage,Ice Barrier,common,Spell,mage,0.16399,0.15145,0.01205,0.00049
Mage,Stranglethorn Tiger,common,Minion,neutral,0.16382,0.15114,0.01196,0.00072
Mage,Bloodfen Raptor,basic,Minion,neutral,0.16379,0.15165,0.01159,0.00054
Mage,Sen'jin Shieldmasta,basic,Minion,neutral,0.16375,0.15086,0.01215,0.00067
Mage,Shattered Sun Cleric,basic,Minion,neutral,0.16373,0.15159,0.01154,0.00059
Mage,Boulderfist Ogre,basic,Minion,neutral,0.16342,0.15142,0.0114,0.00059
Mage,Research Project,common,Spell,mage,0.16314,0.15077,0.01184,0.00052
Mage,Frost Elemental,common,Minion,neutral,0.16304,0.15062,0.01189,0.00052
Mage,River Crocolisk,basic,Minion,neutral,0.16297,0.15061,0.01156,0.00072
Mage,Giant Mastodon,common,Minion,neutral,0.16228,0.15057,0.01129,0.0004
Mage,Sea Giant,epic,Minion,neutral,0.15137,0.14185,0.00913,0.00038
Mage,Blood Knight,epic,Minion,neutral,0.14542,0.13672,0.00838,0.00031
Mage,Chief Inspector,rare,Minion,neutral,0.14033,0.13119,0.00876,0.00036
